"","period","coherence_z","coherence_pvalue","turnover","boundary_clump"
"75",75,3.38459641342944,0.000712829797908125,-1.73073240753523,1.43939393939394
"76",76,3.70164331433383,0.000214207608288965,-0.894596445368563,1.76341463414634
"77",77,0.77310044655324,0.439462936853499,1.13339982096405,2.2405303030303
"78",78,-2.57834934264156,0.00992735786365824,0.741111080566614,1.28571428571429
"79",79,1.47565798466749,0.140035730457238,0.589242821377757,1.92338709677419
"80",80,-0.755097908177465,0.450190238205738,0.674254324780055,1.49411764705882
"81",81,0.920173562214501,0.357482067611958,-0.410069379352756,2.46305418719212
"82",82,0.193431286455732,0.846621215042314,1.69090298788407,1.61140819964349
"83",83,0.323931958296081,0.745989548172383,0.344142155232887,1.68461538461538
"84",84,0.334281527592397,0.738167128337171,0.533361875497887,1.93613445378151
