"","year","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"27",2003,5.0403571225457,4.64663927126674e-07,8.06088402850056,7.57446631530311e-16,5.2156862745098,1.65720770439748e-11,"evenly_spaced_gradients"
"28",2004,5.6521674517717,1.58437125001882e-08,8.78606963400891,1.54883615616303e-18,5.83660130718954,2.01727523574391e-13,"evenly_spaced_gradients"
"29",2005,5.58733582170355,2.30579571565681e-08,8.14952460792565,3.65357684477053e-16,5.83660130718954,2.01727523574391e-13,"evenly_spaced_gradients"
"30",2006,5.32172684702866,1.02786831782397e-07,8.41975220281238,3.77281443723341e-17,5.09150326797386,3.95514732076663e-11,"evenly_spaced_gradients"
"31",2007,4.93476658452826,8.02466705213992e-07,7.96767835356784,1.61683019208618e-15,8.0718954248366,0,"evenly_spaced_gradients"
"32",2008,4.62529198350791,3.74071062017645e-06,7.92723893583686,2.24071911421469e-15,8.0718954248366,0,"evenly_spaced_gradients"
"33",2009,4.59563423604681,4.31434933852572e-06,7.66353886714482,1.80878496303208e-14,8.0718954248366,0,"evenly_spaced_gradients"
"34",2010,4.56316563724511,5.03880298230025e-06,7.68162147898384,1.57087417277422e-14,8.0718954248366,0,"evenly_spaced_gradients"
"35",2011,5.89841249796288,3.67015511131864e-09,8.34705216681835,6.99878101965548e-17,4.59477124183007,1.22540577685015e-09,"evenly_spaced_gradients"
"36",2012,6.16533162750873,7.03355755957278e-10,8.06790568124121,7.15142573270422e-16,4.59477124183007,1.22540577685015e-09,"evenly_spaced_gradients"
"37",2013,5.24214004630434,1.58724822988757e-07,8.11222082076356,4.97028702088674e-16,7.57516339869281,0,"evenly_spaced_gradients"
"38",2014,6.71712033273933,1.85350902885669e-11,8.51443810700724,1.67400002710008e-17,4.22222222222222,1.52266012021229e-08,"evenly_spaced_gradients"
"39",2015,6.41159994102426,1.44000309565364e-10,7.53053127039712,5.05342867871956e-14,5.96078431372549,8.26005930321116e-14,"evenly_spaced_gradients"
"40",2016,6.12249144201837,9.21233662166844e-10,7.45280706930208,9.13748601834661e-14,5.96078431372549,8.26005930321116e-14,"evenly_spaced_gradients"
